title,company,location,experience,url,job_id,source,search_role,search_location,description,match_score,reasoning,should_apply,applied,timestamp
Python Developer,Infosys,Bengaluru,3-5 Yrs,https://www.naukri.com/job-listings-python-developer-infosys-limited-bengaluru-3-to-5-years-271125927555,Python_Developer_Infosys,naukri,Python Developer,Bangalore,Description not available,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:57:56.154497
Python Developer,IBM,Bengaluru,6-11 Yrs,https://www.naukri.com/job-listings-python-developer-ibm-india-pvt-limited-bengaluru-6-to-11-years-261125929790,Python_Developer_IBM,naukri,Python Developer,Bangalore,Description not available,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:57:57.339153
Developer - Python,Wipro,Bengaluru,3-8 Yrs,https://www.naukri.com/job-listings-developer-python-wipro-limited-bengaluru-3-to-8-years-011225916295,Developer_-_Python_Wipro,naukri,Python Developer,Bangalore,Description not available,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:57:58.531644
Python Software Developer,HCLTech,Bengaluru,5-10 Yrs,https://www.naukri.com/job-listings-python-software-developer-hcltech-bengaluru-5-to-10-years-221125009284,Python_Software_Developer_HCLTech,naukri,Python Developer,Bangalore,Description not available,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:57:59.770636
Python Software Developer,Tata Consultancy Services,Bengaluru,5-10 Yrs,https://www.naukri.com/job-listings-python-software-developer-tata-consultancy-services-bengaluru-5-to-10-years-011225034004,Python_Software_Developer_Tata_Consultancy_Services,naukri,Python Developer,Bangalore,Description not available,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:58:00.995478
Python Developer,Mercedes Benz,Bengaluru,3-6 Yrs,https://www.naukri.com/job-listings-python-developer-mercedes-benz-research-and-development-india-pvt-ltd-bengaluru-3-to-6-years-081225906169,Python_Developer_Mercedes_Benz,naukri,Python Developer,Bangalore,Description not available,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:58:02.429006
Python Developer,Quantum Leap Consulting,Hybrid - Bengaluru,4-6 Yrs,https://www.naukri.com/job-listings-python-developer-teamware-solutions-bengaluru-4-to-6-years-261125027888,Python_Developer_Quantum_Leap_Consulting,naukri,Python Developer,Bangalore,Description not available,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:58:03.609207
Python Developer,HARMAN,Bengaluru,2-5 Yrs,https://www.naukri.com/job-listings-python-developer-harman-india-bengaluru-2-to-5-years-081225506410,Python_Developer_HARMAN,naukri,Python Developer,Bangalore,Description not available,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:58:05.231634
Python Software Developer,Xoriant,Hybrid - Bengaluru,7-12 Yrs,https://www.naukri.com/job-listings-python-software-developer-xoriant-bengaluru-7-to-12-years-251125023994,Python_Software_Developer_Xoriant,naukri,Python Developer,Bangalore,Description not available,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:58:06.436625
Python Developer,Altimetrik,Hybrid - Bengaluru,5-10 Yrs,https://www.naukri.com/job-listings-python-developer-altimetrik-bengaluru-5-to-10-years-031225913202,Python_Developer_Altimetrik,naukri,Python Developer,Bangalore,Description not available,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:58:08.124811
Python Developer,Persistent,Bengaluru,3-7 Yrs,https://www.naukri.com/job-listings-python-developer-persistent-systems-limited-bengaluru-3-to-7-years-171024011437,Python_Developer_Persistent,naukri,Python Developer,Bangalore,Description not available,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:58:09.293182
Python Software Developer,Legato,"Hybrid - Bangalore Rural, Gurugram",5-8 Yrs,https://www.naukri.com/job-listings-python-software-developer-legato-bangalore-rural-gurugram-5-to-8-years-300925013628,Python_Software_Developer_Legato,naukri,Python Developer,Bangalore,Description not available,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:58:10.599584
Python Developer,Cybrosys,Bengaluru,0-2 Yrs,https://www.naukri.com/job-listings-python-developer-cybrosys-technologies-pvt-ltd-bengaluru-0-to-2-years-041225503119,Python_Developer_Cybrosys,naukri,Python Developer,Bangalore,Description not available,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:58:11.765433
Python Developer (Mid-Level),Soul Ai,Remote,2-4 Yrs,https://www.naukri.com/job-listings-python-developer-mid-level-soul-ai-bengaluru-2-to-4-years-251125909617,Python_Developer_(Mid-Level)_Soul_Ai,naukri,Python Developer,Bangalore,Could not fetch description,0,"Error: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",False,False,2025-12-08T21:58:16.770659
